x,y,region,classification
0.0,0.4136272971175662,1,boundary
0.000443262411347519,0.41589814573506806,1,boundary
0.0008865248226950379,0.41816899435257,1,boundary
0.0011434585718974356,0.4115761579461963,1,boundary
0.0013297872340425568,0.42043984297007186,1,boundary
0.0017730496453900707,0.4227106915875738,1,boundary
0.0022869171437948713,0.40952501877482644,1,boundary
0.0022163120567375845,0.42498154020507567,1,boundary
0.002659574468085098,0.4272523888225776,1,boundary
0.003243473118741919,0.4294791082203185,1,boundary
0.0034303757156923073,0.40747387960345655,1,boundary
0.0038273717693987396,0.4317058276180593,1,boundary
0.00441127042005556,0.4339325470158002,1,boundary
0.004553092361978342,0.4060187161486599,1,boundary
0.0056758090082643774,0.40456355269386324,1,boundary
0.005903866641881923,0.43509269642911597,1,boundary
0.006798525654550412,0.40310838923906656,1,boundary
0.007396462863708286,0.43625284584243174,1,boundary
0.007921242300836446,0.40165322578426993,1,boundary
0.009080803822390212,0.39960713944002113,1,boundary
0.008889059085534648,0.43741299525574745,1,boundary
0.009298817099318318,0.45078817880144595,1,boundary
0.009607006195025348,0.44813829787234044,1,boundary
0.009452911647171833,0.44946323833689317,1,boundary
0.009783590607216836,0.45304600195473455,1,boundary
0.010240365343943979,0.39756105309577233,1,boundary
0.010268364115115355,0.4553038251080231,1,boundary
0.010381655307361012,0.4385731446690632,1,boundary
0.010753137623013873,0.4575616482613117,1,boundary
0.011280557321506257,0.4466771396281804,1,boundary
0.011399926865497744,0.39551496675152353,1,boundary
0.011796990063063367,0.4403003708259956,1,boundary
0.011912699144567634,0.4596077346055605,1,boundary
0.01260481614619246,0.39355253102583837,1,boundary
0.012954108447987167,0.44521598138402035,1,boundary
0.013212324818765723,0.44202759698292793,1,boundary
0.013072260666121395,0.46165382094980933,1,boundary
0.013809705426887175,0.39159009530015326,1,boundary
0.014231822187675155,0.46369990729405813,1,boundary
0.014627659574468078,0.4437548231398603,1,boundary
0.015014594707581892,0.3896276595744681,1,boundary
0.015939159559347816,0.46446376025777764,1,boundary
0.01647319511005256,0.38840477219722963,1,boundary
0.01764649693102048,0.46522761322149714,1,boundary
0.017931795512523233,0.38718188481999116,1,boundary
0.0193903959149939,0.38595899744275264,1,boundary
0.01935383430269314,0.46599146618521664,1,boundary
0.02084899631746457,0.38473611006551417,1,boundary
0.021061171674365803,0.46675531914893614,1,boundary
0.022019504520499188,0.4688258941526822,1,boundary
0.022341592539290956,0.38357596065219846,1,boundary
0.022606382978723406,0.48617487162821044,1,boundary
0.022977837366632576,0.47089646915642835,1,boundary
0.023224932041456457,0.48395902493054205,1,boundary
0.02349290780141844,0.48830663216672054,1,boundary
0.023834188761117342,0.3824158112388827,1,boundary
0.02393617021276596,0.47296704416017443,1,boundary
0.023843481104189504,0.4817431782328736,1,boundary
0.024111456864151493,0.475153806618518,1,boundary
