x,y,region
0.6161244276357998,0.9068659267596626,1
0.6015752985262548,0.899363472576649,1
0.5846200959848151,0.8918610183936352,1
0.5648576573852064,0.891810055359809,1
0.5676147204837775,0.8771123550651746,1
0.549852749019179,0.8746196485024089,1
0.5340207783587585,0.8668528377835897,1
0.5214302517448528,0.8559360669362953,1
0.5123404781041105,0.8655949035594657,1
0.4999523616725581,0.8568495655395714,1
0.4850871176844455,0.8540931092271816,1
0.473106729083788,0.8451248151902989,1
0.4582873739945967,0.8380934300820371,1
0.439897592011049,0.8330917939600279,1
0.42534846290150385,0.8255893397770143,1
0.4123077556639281,0.8173660393783738,1
0.39456142097157304,0.8143356585024938,1
0.3765816152602613,0.8186226070748999,1
0.3722946666878551,0.8031295366117135,1
0.35950211837021695,0.7955795230449596,1
0.3425469158287772,0.7880770688619458,1
0.3252954980863092,0.7810909892364729,1
0.3058605395131432,0.7829129841818457,1
0.2921107392728173,0.7754152290940313,1
0.2754106674621184,0.7699688385578528,1
0.2660098990951612,0.7634017308995875,1
0.2538306929753409,0.7521400911625822,1
0.25100499072913385,0.7354777243998227,1
0.2520885655004848,0.7191377379251692,1
0.24350253654612017,0.7068156689894746,1
0.23975130945461334,0.6910865191313386,1
0.23474967333260421,0.6750663204861163,1
0.22724721914959053,0.6604442439938559,1
0.21599353787506995,0.650229607079362,1
0.21724394690557225,0.6331023350682641,1
0.21224231078356312,0.6170821364230415,1
0.19718443142552528,0.6130198045916265,1
0.18473331211251298,0.6037906697796082,1
0.17097881277698782,0.5962943015028325,1
0.16972840374648557,0.5791670294917344,1
0.16722758568548102,0.5624087819359284,1
0.16472676762447644,0.5456505343801221,1
0.15809371743149248,0.5301118035380035,1
0.15472349538045818,0.5136101370896772,1
0.14317033839182502,0.5001835161323086,1
0.13545381854079747,0.4849645420982674,1
0.12346326961790119,0.474307298527073,1
0.12160360702788209,0.4573598312498269,1
0.11846163349589206,0.4456452431167246,1
0.11721122446538977,0.42925602001621027,1
0.11004014790795726,0.41637420917718726,1
0.10430842450450387,0.40505319587238486,1
0.10345672512986469,0.38854630438497845,1
0.10095590706886012,0.3717880568291723,1
0.09720467997735328,0.35539883372865855,1
0.0952526656173768,0.33847862158215275,1
0.08720140773333505,0.3259987294077285,1
0.0799273183192759,0.3106491839790291,1
0.07317627359104771,0.2951452760372849,1
0.05910445139522336,0.28541263860002897,1
0.057191591001280295,0.2688305699234455,1
0.04922277752109738,0.2536860535403026,1
0.04218668263525293,0.2382662704541691,1
0.036686163187440037,0.22239330374911118,1
0.029682592330230118,0.20762399531668752,1
0.02008879206025231,0.19538318840386476,1
0.012176865903198188,0.18307833069702065,1
0.005123839670415535,0.16832361768304566,1
0.0021735936591799334,0.1516980066489556,1
0.0,0.13503633053793057,1
0.014906308958556266,0.12536028269573696,1
0.029682592330230118,0.11988552329929647,1
0.044361210897279665,0.1175315387137455,1
0.04503109102570424,0.13195591817769511,1
0.05757498649072617,0.14575022267321935,1
0.07027691374099934,0.14536682718377347,1
0.08845181676383733,0.15054531059203027,1
0.09720467997735328,0.16347821614424207,1
0.1120394819450418,0.16179225097864208,1
0.11345999737388293,0.14545323018749884,1
0.10387924140727235,0.13078443509515378,1
0.09970549803835785,0.11451990626293085,1
0.09327357731921285,0.09892181748855551,1
0.08708603945534894,0.0852318254416779,1
0.08094936258082364,0.07234284772619923,1
0.07477753183168266,0.056668000421482026,1
0.06719486324529854,0.04140952380163127,1
0.055992252300820694,0.027879448646601704,1
0.07049467931472085,0.019075515103043093,1
0.08167414668369477,0.007097049725651474,1
0.0981583580917023,0.004070606737015739,1
0.11628019508039643,0.0,1
0.13343608135150642,0.00028891913509588294,1
0.14501450169372945,0.01436815753832349,1
0.15801421161916238,0.02736786746375643,1
0.17238136492582898,0.03798379367891621,1
0.17555206311525823,0.052408173142866055,1
0.17940668247508954,0.06876688280772013,1
0.19018293237759382,0.08284637565865947,1
0.2067196995052123,0.09107826371583373,1
0.2248106271815271,0.09410005693317998,1
0.2372504913936088,0.10465860127762315,1
0.2410017184851156,0.12104782437813641,1
0.2516371361354918,0.13474529131561083,1
0.266513950104546,0.14587087819315822,1
0.2735123532781749,0.16056373605962088,1
0.2856409907408238,0.17250037301244983,1
0.2976752255434578,0.18578501684558607,1
0.30352217001022963,0.20081769665168892,1
0.3180494418167703,0.2116385058003944,1
0.3334853301598574,0.21288891483089667,1
0.35339311102401455,0.21524431268559496,1
0.3709821838480122,0.22164177804441262,1
0.38861651248705914,0.22032484061123594,1
0.39554413644628983,0.21363102204029033,1
0.3844984232019183,0.20193556734733575,1
0.39440205977549575,0.1916319613123579,1
0.4096684786060955,0.18537991615984653,1
0.4273306521120369,0.19164994939443944,1
0.43982296557121875,0.2041360516173807,1
0.4589300372758225,0.205386460647883,1
