x,y,region,classification
0.0,0.16051285399236473,1,boundary
0.000723543424138701,0.16429045617322935,1,boundary
0.003655898808997809,0.16788729906337546,1,boundary
0.005455355678962906,0.1550574983134018,1,boundary
0.006114576932437777,0.15805751593971948,1,boundary
0.007035450436477687,0.17126685069085534,1,boundary
0.008387711063821982,0.15146065542325568,1,boundary
0.010101501964159902,0.14760164611371926,1,boundary
0.011430476974733943,0.13207606060316565,1,boundary
0.012223470728077756,0.12835475810567634,1,boundary
0.012094964480020964,0.13591879972306223,1,boundary
0.012759451985307984,0.13983885335844246,1,boundary
0.012102118281619735,0.14375932317373585,1,boundary
0.012384546325159534,0.1739579965583891,1,boundary
0.014088426995882026,0.17781758240593026,1,boundary
0.014752914501169046,0.1817376360413104,1,boundary
0.015783781646276206,0.12479444718747786,1,boundary
0.01741086452231713,0.12093039354766151,1,boundary
0.01887023333073462,0.11705658296601032,1,boundary
0.01777539786113743,0.18532923564195017,1,boundary
0.0190814174190014,0.10158085452307551,1,boundary
0.020733302048752233,0.10544346529484987,1,boundary
0.020733302048752233,0.11320625805012652,1,boundary
0.022062277059326275,0.1093248616724882,1,boundary
0.02223010126457756,0.1871259890242422,1,boundary
0.023391252069900316,0.09886899184648815,1,boundary
0.027424564699679826,0.09725235160524315,1,boundary
0.027992906433054986,0.18828713982956496,1,boundary
0.03202880880900366,0.0965870832703282,1,boundary
0.03672706127279969,0.06872544797506026,1,boundary
0.03716317167680653,0.07248399590550217,1,boundary
0.03623942603100574,0.18983902620079104,1,boundary
0.03800586023102483,0.09525477213419217,1,boundary
0.03902037528570533,0.07633466203026201,1,boundary
0.039338952196788804,0.0802748393773589,1,boundary
0.03854382588252541,0.1924047036702635,1,boundary
0.04000343970207583,0.08419489301273911,1,boundary
0.040634841498604336,0.06273208703907658,1,boundary
0.04066792720736285,0.06661540821253256,1,boundary
0.04266138972322391,0.08799897487489373,1,boundary
0.041996902217936886,0.09191902851027389,1,boundary
0.04705908916324642,0.06510323825447956,1,boundary
0.047312240129361666,0.07931175109336497,1,boundary
0.04664831475494603,0.08323183743129836,1,boundary
0.047204054760271764,0.19349429237189983,1,boundary
0.049306264776094115,0.06873994219669259,1,boundary
0.049970752281381134,0.07265999583207276,1,boundary
0.05129972729195517,0.07654139220971108,1,boundary
0.05130682227809294,0.08594896902922604,1,boundary
0.051839517454430384,0.1968007800554844,1,boundary
0.056185521234357265,0.20024791492473135,1,boundary
0.05865915800879807,0.08396260149950274,1,boundary
0.06066324660012677,0.20363104668531973,1,boundary
0.060602552365973464,0.22400913795291386,1,boundary
0.060602552365973464,0.22796784884603585,1,boundary
0.062089890975418574,0.22018254008334193,1,boundary
0.061653624701391595,0.23186541250335244,1,boundary
0.06415531760737707,0.08685087923561931,1,boundary
0.06458947739769559,0.2069787946785521,1,boundary
0.06395802455291125,0.2354987873654461,1,boundary
0.06591845240826963,0.2169747996848829,1,boundary
0.06591845240826963,0.2391521731592816,1,boundary
0.06796049423405437,0.23807512341616782,1,boundary
0.06724742741884367,0.24199235089922808,1,boundary
0.06724742741884367,0.2468010052779492,1,boundary
0.06849750163104677,0.2101363267056657,1,boundary
0.06857640242941772,0.21355326812691378,1,boundary
0.06857640242941772,0.24587374727686637,1,boundary
0.06896069451633285,0.24970018573434274,1,boundary
0.06923797654415652,0.08861110064596368,1,boundary
0.0707120903281949,0.2346590398167403,1,boundary
0.07256332746113983,0.21900920842209975,1,boundary
0.07256332746113983,0.22296791931522184,1,boundary
0.07256332746113983,0.22692663020834392,1,boundary
0.07256929393709373,0.2308083736919804,1,boundary
0.07476783172355687,0.09015403079364193,1,boundary
0.07401962139412571,0.21565844646874466,1,boundary
0.07802712855494492,0.21900146612427684,1,boundary
0.07920820251401005,0.2228914668007515,1,boundary
0.07854371500872302,0.22681152043613173,1,boundary
0.07920820251401005,0.23073157407151196,1,boundary
0.07987269001929706,0.23465162770689216,1,boundary
0.08074488314557808,0.092808644689228,1,boundary
0.08311083087407062,0.23803940605442991,1,boundary
0.08385961505101919,0.260555768527962,1,boundary
0.08385961505101919,0.26451447942108397,1,boundary
0.08452410255630621,0.26789735372131124,1,boundary
0.08518859006159323,0.27181740735669147,1,boundary
0.0860431820355785,0.24922988584727265,1,boundary
