Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Wave,Cuitzeo,1,nvec_20_spsolve_cpu_mfFalse_preNone,6.147731658937494e-06,5.774204987770606e-06,0.30069278899463825,
Wave,Cuitzeo,2,nvec_20_spsolve_cpu_mfFalse_preNone,3.0429449455006376e-06,3.0443292951337087e-06,1.2656427629990503,
Wave,Cuitzeo,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.160216841618352e-06,2.2037412368314643e-06,3.8061838669818826,
Wave,Catemaco,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.8546679697243477e-05,3.721543242821907e-05,0.384806996997213,
Wave,Catemaco,2,nvec_20_spsolve_cpu_mfFalse_preNone,7.401207430346187e-06,9.781278116441173e-06,1.7350392740045208,
Wave,Catemaco,3,nvec_20_spsolve_cpu_mfFalse_preNone,5.209660449578319e-06,6.127317282751419e-06,5.882783021021169,
Wave,Caspio,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.0075354497130255e-05,8.124972338316963e-06,0.20760230597807094,
Wave,Caspio,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.186928824092148e-06,3.0878736766620193e-06,0.7833595509873703,
Wave,Caspio,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.8523340787137755e-06,2.1398443800833056e-06,1.9817253990040626,
Wave,Metztitlán,1,nvec_20_spsolve_cpu_mfFalse_preNone,9.182965177573933e-06,1.1719700830177428e-05,0.1742626229824964,
Wave,Metztitlán,2,nvec_20_spsolve_cpu_mfFalse_preNone,3.6380995666534193e-06,4.566870132976441e-06,0.591658538003685,
Wave,Metztitlán,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.5650494085064106e-06,3.2254610016837167e-06,1.4586484610044863,
Wave,Ness,1,nvec_20_spsolve_cpu_mfFalse_preNone,8.503428011434203e-07,8.480156698984708e-07,0.132598316995427,
Wave,Ness,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.06983604984002e-07,2.675666274416183e-07,0.3679583939956501,
Wave,Ness,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.7924153732778944e-07,1.5495353467331634e-07,0.7897530479822308,
Wave,Huron,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.3277951063351258e-05,2.0212617155260997e-05,0.21585751001839526,
Wave,Huron,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.241782073876518e-06,5.2477075044981476e-06,0.7515186820237432,
Wave,Huron,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.9101840852372415e-06,3.3520983828756605e-06,1.821454761986388,
Wave,Chapala,1,nvec_20_spsolve_cpu_mfFalse_preNone,4.830445711904946e-06,5.198263661421827e-06,0.253995404986199,
Wave,Chapala,2,nvec_20_spsolve_cpu_mfFalse_preNone,2.5444566065576017e-06,3.0316343383170065e-06,1.0706898500211537,
Wave,Chapala,3,nvec_20_spsolve_cpu_mfFalse_preNone,1.732439879831771e-06,2.039078598024228e-06,3.0228803099889774,
Wave,Ladoga,1,nvec_20_spsolve_cpu_mfFalse_preNone,9.497951710898898e-06,6.593977731583872e-06,0.39213664300041273,
Wave,Ladoga,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.167828202474695e-06,2.75287626131184e-06,1.9644925500033423,
Wave,Ladoga,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.8207552767319493e-06,1.7598399341148213e-06,6.570564709982136,
Wave,Patzcuaro,1,nvec_20_spsolve_cpu_mfFalse_preNone,7.114413010265522e-06,7.559083444804175e-06,0.21984051298932172,
Wave,Patzcuaro,2,nvec_20_spsolve_cpu_mfFalse_preNone,3.787780828840267e-06,4.366718128540287e-06,0.7691712550004013,
Wave,Patzcuaro,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.7076986137921256e-06,3.2309976702918984e-06,1.8379864250018727,
Wave,Baikal,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.5496953329079107e-06,1.587355458804269e-06,0.16697261400986463,
Wave,Baikal,2,nvec_20_spsolve_cpu_mfFalse_preNone,8.965549347193567e-07,9.871764675948316e-07,0.5420526140078437,
Wave,Baikal,3,nvec_20_spsolve_cpu_mfFalse_preNone,6.378591999039824e-07,7.050745480091643e-07,1.1682884030160494,
Wave,Santa Maria del Oro,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.647432097247928e-05,2.9727248411804786e-05,0.675535802001832,
Wave,Santa Maria del Oro,2,nvec_20_spsolve_cpu_mfFalse_preNone,7.579211704957708e-06,2.889469830895379e-06,4.801518249005312,
Wave,Santa Maria del Oro,3,nvec_20_spsolve_cpu_mfFalse_preNone,5.36414687684435e-06,1.556338361317221e-06,13.086713889992097,
Wave,Balkhash,1,nvec_20_spsolve_cpu_mfFalse_preNone,3.120722696869997e-06,2.4697533307451624e-06,0.1435386240191292,
Wave,Balkhash,2,nvec_20_spsolve_cpu_mfFalse_preNone,1.6239786583642512e-06,1.0340947167485479e-06,0.3481175350025296,
Wave,Balkhash,3,nvec_20_spsolve_cpu_mfFalse_preNone,1.1618999881947867e-06,6.458763867041669e-07,0.6978403420071118,
Wave,Zirahuen,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.5781977836369927e-05,3.205788233030602e-05,0.4510263770062011,
Wave,Zirahuen,2,nvec_20_spsolve_cpu_mfFalse_preNone,6.6155899967404715e-06,8.814366066994064e-06,2.2522060129849706,
Wave,Zirahuen,3,nvec_20_spsolve_cpu_mfFalse_preNone,4.526001964137257e-06,5.1039063060258575e-06,7.3874585670128,
Wave,Alchichica,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.5099596875113908e-05,2.2768987777774884e-05,0.8677676010120194,
Wave,Alchichica,2,nvec_20_spsolve_cpu_mfFalse_preNone,7.617169084757127e-06,3.5362159880269912e-06,5.984467058995506,
Wave,Alchichica,3,nvec_20_spsolve_cpu_mfFalse_preNone,5.225604762341445e-06,2.465043902029143e-06,15.944602009985829,
Wave,Titicaca,1,nvec_20_spsolve_cpu_mfFalse_preNone,1.1090596048691881e-05,8.313429983960448e-06,0.17602615102077834,
Wave,Titicaca,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.714983167477319e-06,1.978477999485081e-06,0.5563347699935548,
Wave,Titicaca,3,nvec_20_spsolve_cpu_mfFalse_preNone,3.276662978430986e-06,1.4275301699153967e-06,1.2178383940190542,
Wave,Poopo,1,nvec_20_spsolve_cpu_mfFalse_preNone,6.7289574365245985e-06,5.141872375719141e-06,0.2719054490153212,
Wave,Poopo,2,nvec_20_spsolve_cpu_mfFalse_preNone,3.0233379380540175e-06,3.364967046534057e-06,1.1295491960190702,
Wave,Poopo,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.0826073450482225e-06,2.414751419054368e-06,3.2442870759987272,
Wave,Yuriria,1,nvec_20_spsolve_cpu_mfFalse_preNone,9.074683711714789e-06,1.2121765644442396e-05,0.30774811399169266,
Wave,Yuriria,2,nvec_20_spsolve_cpu_mfFalse_preNone,4.448677443293555e-06,5.226704006520346e-06,1.3267833210120443,
Wave,Yuriria,3,nvec_20_spsolve_cpu_mfFalse_preNone,3.1016622895937766e-06,3.6227529455704125e-06,4.143623340991326,
Wave,Erie,1,nvec_20_spsolve_cpu_mfFalse_preNone,4.951476977295851e-06,5.991655046606185e-06,0.29369587200926617,
Wave,Erie,2,nvec_20_spsolve_cpu_mfFalse_preNone,2.6214694142149486e-06,3.438473566898717e-06,1.209242616983829,
Wave,Erie,3,nvec_20_spsolve_cpu_mfFalse_preNone,1.7888464415909829e-06,2.306257366939668e-06,3.5636847489804495,
Wave,Malawi,1,nvec_20_spsolve_cpu_mfFalse_preNone,2.459650585790092e-06,1.530890700703042e-06,0.18385930900694802,
Wave,Malawi,2,nvec_20_spsolve_cpu_mfFalse_preNone,1.3423075468527353e-06,5.248738602440576e-07,0.6684767489787191,
Wave,Malawi,3,nvec_20_spsolve_cpu_mfFalse_preNone,9.330832206237317e-07,2.786051420843071e-07,1.5251792710041627,
Wave,Zempoala,1,nvec_20_spsolve_cpu_mfFalse_preNone,6.655458665504433e-06,2.8161697987726547e-06,0.2349977050034795,
Wave,Zempoala,2,nvec_20_spsolve_cpu_mfFalse_preNone,3.382261801384258e-06,1.2620440018498813e-06,0.9207137119956315,
Wave,Zempoala,3,nvec_20_spsolve_cpu_mfFalse_preNone,2.362220537292827e-06,9.17039910249975e-07,2.4144576359831262,
Perturbation,Cuitzeo,1,nvec_20_spsolve_cpu_mfFalse_preNone_upwind_True,,,0.03964676198665984,6.795462545571051e-06
Perturbation,Cuitzeo,1,nvec_20_spsolve_cpu_mfFalse_preNone_upwind_False,,,0.025862673996016383,6.795462545571051e-06
Perturbation,Cuitzeo,1,nvec_20_gmres_cuda_mfFalse_preilu_upwind_True,,,0.05535401200177148,6.795462545571593e-06
Perturbation,Cuitzeo,1,nvec_20_gmres_cuda_mfFalse_preilu_upwind_False,,,0.04040119398268871,6.795462545571593e-06
