Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,CFL,dt,Time_Steps,Time_Secs,Time_Callable,RMSE
Wave,Cuitzeo,1,nvec_20_cpu,6.3104237738268985e-06,6.452541803523283e-06,0.09988950102356148,0.0011560693641618498,865.0,0.18940744595602155,0.18940744595602155,
Wave,Cuitzeo,1,nvec_20_cuda,6.3104237738069856e-06,6.452541803335791e-06,0.09988950102356148,0.0011560693641618498,865.0,4.468161801982205,4.468161801982205,
Wave,Cuitzeo,2,nvec_20_cpu,1.8653555395952536e-06,2.076792309146879e-06,0.0999494951041959,0.0006557377049180328,1525.0,1.193372994021047,1.193372994021047,
Wave,Cuitzeo,2,nvec_20_cuda,1.865355540480685e-06,2.0767923074145747e-06,0.0999494951041959,0.0006557377049180328,1525.0,29.471720425994135,29.471720425994135,
Wave,Cuitzeo,3,nvec_20_cpu,9.93925355032357e-07,1.756741730931776e-06,0.09997836562663223,0.0004520795660036166,2212.0,5.010293992003426,5.010293992003426,
Wave,Cuitzeo,3,nvec_20_cuda,9.939253563845604e-07,1.75674172774806e-06,0.09997836562663223,0.0004520795660036166,2212.0,111.01798637595493,111.01798637595493,
Wave,Cuitzeo,4,nvec_20_cpu,263174.82094077056,10741303.402133293,0.09998852557775924,0.0003436426116838488,2910.0,7.762281526054721,7.762281526054721,
Wave,Cuitzeo,4,nvec_20_cuda,263174.82084294653,10741303.409818925,0.09998852557775924,0.0003436426116838488,2910.0,138.08729872200638,138.08729872200638,
Wave,Cuitzeo,5,nvec_20_cpu,20095114686.430534,1161836834355.4429,0.09999064791127299,0.0002767017155506364,3614.0,17.50155605498003,17.50155605498003,
Wave,Cuitzeo,5,nvec_20_cuda,20095115792.599167,1161836897444.9148,0.09999064791127299,0.0002767017155506364,3614.0,284.7777657909901,284.7777657909901,
Wave,Catemaco,1,nvec_20_cpu,3.6378746891244974e-05,3.5072444197821225e-05,0.09999184975276437,0.0016722408026755853,598.0,0.18011796497739851,0.18011796497739851,
Wave,Catemaco,1,nvec_20_cuda,3.637874688615471e-05,3.5072444176726764e-05,0.09999184975276437,0.0016722408026755853,598.0,3.9809788489947096,3.9809788489947096,
Wave,Catemaco,2,nvec_20_cpu,1.2779133474470047e-05,1.5504771725168086e-05,0.09994464410947095,0.0009487666034155598,1054.0,1.3484735910315067,1.3484735910315067,
Wave,Catemaco,2,nvec_20_cuda,1.277913342357366e-05,1.5504771541936333e-05,0.09994464410947095,0.0009487666034155598,1054.0,30.12312635499984,30.12312635499984,
Wave,Catemaco,3,nvec_20_cpu,6.331627972910907e-06,8.066162490743376e-06,0.09997584757017239,0.0006605019815059445,1514.0,5.276302179030608,5.276302179030608,
Wave,Catemaco,3,nvec_20_cuda,6.331627874740439e-06,8.066162145576146e-06,0.09997584757017239,0.0006605019815059445,1514.0,104.24388340400765,104.24388340400765,
Wave,Catemaco,4,nvec_20_cpu,81.75121202529388,2469.527563470254,0.09996665194129084,0.0005042864346949068,1983.0,7.396762733987998,7.396762733987998,
Wave,Catemaco,4,nvec_20_cuda,81.7512134475733,2469.527607689703,0.09996665194129084,0.0005042864346949068,1983.0,134.89849647303345,134.89849647303345,
Wave,Catemaco,5,nvec_20_cpu,730.6618764669325,25816.129832428636,0.09997993011489731,0.00040584415584415587,2464.0,16.7594209050294,16.7594209050294,
Wave,Catemaco,5,nvec_20_cuda,730.6618529665146,25816.128861132034,0.09997993011489731,0.00040584415584415587,2464.0,300.62202185898786,300.62202185898786,
Wave,Caspio,1,nvec_20_cpu,1.744839216389158e-05,1.5216581540977318e-05,0.09997353628898997,0.0016666666666666668,600.0,0.09884954697918147,0.09884954697918147,
Wave,Caspio,1,nvec_20_cuda,1.7448392163845254e-05,1.5216581540876957e-05,0.09997353628898997,0.0016666666666666668,600.0,2.209127740992699,2.209127740992699,
Wave,Caspio,2,nvec_20_cpu,5.2093562808580675e-06,4.332164945413882e-06,0.09992482660161661,0.0009182736455463728,1089.0,0.5641421959735453,0.5641421959735453,
Wave,Caspio,2,nvec_20_cuda,5.20935628203019e-06,4.332164946735608e-06,0.09992482660161661,0.0009182736455463728,1089.0,16.54372924094787,16.54372924094787,
Wave,Caspio,3,nvec_20_cpu,2.491122232657314e-06,2.305017718645372e-06,0.09997418633131039,0.0006406149903907751,1561.0,2.0953821309958585,2.0953821309958585,
Wave,Caspio,3,nvec_20_cuda,2.491122234613388e-06,2.305017720107106e-06,0.09997418633131039,0.0006406149903907751,1561.0,59.32986492704367,59.32986492704367,
Wave,Caspio,4,nvec_20_cpu,47.94994978424963,1415.3039044995726,0.09999643480693293,0.0004870920603994155,2053.0,3.1635277370223776,3.1635277370223776,
Wave,Caspio,4,nvec_20_cuda,47.94994941138837,1415.3038929746815,0.09999643480693293,0.0004870920603994155,2053.0,81.08600051095709,81.08600051095709,
Wave,Caspio,5,nvec_20_cpu,4280.2735228283345,159451.7840262096,0.09999215346871823,0.0003940110323089047,2538.0,7.285365617019124,7.285365617019124,
Wave,Caspio,5,nvec_20_cuda,4280.273497465623,159451.7796590265,0.09999215346871823,0.0003940110323089047,2538.0,150.56192921299953,150.56192921299953,
Wave,Metztitlán,1,nvec_20_cpu,2.391490376125803e-05,2.631852641368026e-05,0.0999593301492445,0.0017241379310344827,580.0,0.09407742001349106,0.09407742001349106,
Wave,Metztitlán,1,nvec_20_cuda,2.3914903761469482e-05,2.631852641344912e-05,0.0999593301492445,0.0017241379310344827,580.0,1.4176040070015006,1.4176040070015006,
Wave,Metztitlán,2,nvec_20_cpu,6.851463775710844e-06,8.4004955504881e-06,0.09998023911104946,0.000949667616334283,1053.0,0.40382668300298974,0.40382668300298974,
Wave,Metztitlán,2,nvec_20_cuda,6.851463776291078e-06,8.400495545951281e-06,0.09998023911104946,0.000949667616334283,1053.0,9.6243461050326,9.6243461050326,
Wave,Metztitlán,3,nvec_20_cpu,3.443816793266322e-06,4.540177353511857e-06,0.09997340399987444,0.0006697923643670462,1493.0,1.350151316029951,1.350151316029951,
