Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Wave,Ness,2,nvec_20_cpu,1.0081404144598955e-06,3.3079901146019485e-06,0.4307830079924315,
Wave,Ness,2,nvec_20_cuda,1.0081404151293278e-06,3.307990118824519e-06,18.0151300150319,
Wave,Ness,3,nvec_20_cpu,1.2963943598310155e-06,6.772173607028424e-06,0.9374271089909598,
Wave,Ness,3,nvec_20_cuda,1.2963943603992236e-06,6.772173611194887e-06,30.339606319961604,
Wave,Huron,1,nvec_20_cpu,1.2820192419459572e-05,2.0106296260319466e-05,0.2563009920413606,
Wave,Huron,1,nvec_20_cuda,1.282019242064346e-05,2.01062962619157e-05,6.234570966975298,
Wave,Huron,2,nvec_20_cpu,3.7619489508445412e-06,4.969386511051344e-06,0.860900980012957,
Wave,Huron,2,nvec_20_cuda,3.7619489748985503e-06,4.9693866030574975e-06,22.129746705002617,
Wave,Huron,3,nvec_20_cpu,2.5792873953480934e-06,3.347622600496448e-06,2.569693973986432,
Wave,Huron,3,nvec_20_cuda,2.5792873967389838e-06,3.3476226065357454e-06,57.23571407998679,
Wave,Chapala,1,nvec_20_cpu,4.6236199739631624e-06,5.163790366782309e-06,0.3129071689909324,
Wave,Chapala,1,nvec_20_cuda,4.623619980221958e-06,5.163790344908091e-06,10.62350599002093,
Wave,Chapala,2,nvec_20_cpu,2.438654674165094e-06,3.113508290493537e-06,1.2641334210056812,
Wave,Chapala,2,nvec_20_cuda,2.438654674289785e-06,3.1135082887525095e-06,39.54902229300933,
Wave,Chapala,3,nvec_20_cpu,1.7752581693537463e-06,3.0683807039528927e-06,4.0131853769999,
Wave,Chapala,3,nvec_20_cuda,1.7752581722709325e-06,3.068380691794753e-06,98.57595579896588,
Wave,Ladoga,1,nvec_20_cpu,8.28735439601476e-06,7.890693489602145e-06,0.4756926289992407,
Wave,Ladoga,1,nvec_20_cuda,8.2873544084631e-06,7.890693528191202e-06,15.845537165005226,
Wave,Ladoga,2,nvec_20_cpu,3.281345121742404e-06,2.3780782999762257e-06,2.708042812999338,
Wave,Ladoga,2,nvec_20_cuda,3.281345120141171e-06,2.378078288709966e-06,65.33990971196909,
Wave,Ladoga,3,nvec_20_cpu,2.2506524538415286e-06,2.1228756386372872e-06,7.888940095028374,
Wave,Ladoga,3,nvec_20_cuda,2.250652442565065e-06,2.1228756038830125e-06,157.405187102966,
Wave,Patzcuaro,1,nvec_20_cpu,6.9436640952292935e-06,7.71837095218684e-06,0.2691564059932716,
Wave,Patzcuaro,1,nvec_20_cuda,6.943664094755442e-06,7.718370949992997e-06,7.116819027985912,
Wave,Patzcuaro,2,nvec_20_cpu,3.6443965591916604e-06,4.331933039996911e-06,0.8675764219951816,
Wave,Patzcuaro,2,nvec_20_cuda,3.6443965691102654e-06,4.331933041936626e-06,25.01874949102057,
Wave,Patzcuaro,3,nvec_20_cpu,2.642933148383123e-06,3.511495587139632e-06,2.4948735249927267,
Wave,Patzcuaro,3,nvec_20_cuda,2.642933147865087e-06,3.511495581859055e-06,53.0428955280222,
Wave,Baikal,1,nvec_20_cpu,1.7710055336872293e-06,2.171340116107514e-06,0.19291659200098366,
Wave,Baikal,1,nvec_20_cuda,1.7710055337783137e-06,2.1713401151139338e-06,4.764228485990316,
Wave,Baikal,2,nvec_20_cpu,1.294623523768054e-06,3.3863444318692947e-06,0.5949947760091163,
Wave,Baikal,2,nvec_20_cuda,1.2946235243824608e-06,3.3863444362858574e-06,16.496874161006417,
Wave,Baikal,3,nvec_20_cpu,1.3612637663518893e-06,5.307024344402701e-06,1.4720082340063527,
Wave,Baikal,3,nvec_20_cuda,1.3612637653166069e-06,5.307024340387893e-06,38.058498749975115,
Wave,Santa Maria del Oro,1,nvec_20_cpu,1.204533415144816e-05,3.15351066974683e-05,0.8020723770023324,
Wave,Santa Maria del Oro,1,nvec_20_cuda,1.2045334201939022e-05,3.153510692555365e-05,26.697902362036984,
Wave,Santa Maria del Oro,2,nvec_20_cpu,4.9321464386407625e-06,3.506733947274848e-06,5.724466284969822,
Wave,Santa Maria del Oro,2,nvec_20_cuda,4.9321464295773634e-06,3.5067340137095043e-06,124.3374717879924,
Wave,Santa Maria del Oro,3,nvec_20_cpu,3.6217369120502634e-06,2.0232424696372303e-06,15.928787529992405,
Wave,Santa Maria del Oro,3,nvec_20_cuda,3.6217368464342696e-06,2.0232425591907114e-06,298.9746105290251,
Wave,Balkhash,1,nvec_20_cpu,3.299502452496312e-06,3.075900818569498e-06,0.15152374899480492,
Wave,Balkhash,1,nvec_20_cuda,3.299502453637797e-06,3.075900820760074e-06,3.579678412002977,
Wave,Balkhash,2,nvec_20_cpu,1.7681987873509937e-06,1.7082301923953643e-06,0.41108335100580007,
Wave,Balkhash,2,nvec_20_cuda,1.76819878680213e-06,1.7082301902552977e-06,9.434715676004998,
Wave,Balkhash,3,nvec_20_cpu,1.3542169648386465e-06,1.8361503966168807e-06,0.8301245719776489,
Wave,Balkhash,3,nvec_20_cuda,1.354216965273931e-06,1.8361503999621194e-06,22.884000374004245,
Wave,Zirahuen,1,nvec_20_cpu,1.2811929195230633e-05,3.038609785342559e-05,0.506417456024792,
Wave,Zirahuen,1,nvec_20_cuda,1.2811929219728201e-05,3.0386097937030624e-05,18.03309431998059,
Wave,Zirahuen,2,nvec_20_cpu,4.738731782667751e-06,7.766329758226576e-06,3.016071585996542,
Wave,Zirahuen,2,nvec_20_cuda,4.73873178501297e-06,7.766329846857239e-06,73.01829642703524,
