Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,CFL,dt,Time_Steps,Time_Secs,Time_Callable,RMSE
Wave,Cuitzeo,1,nvec_20_cpu,6.3104237738268985e-06,6.452541803523283e-06,0.09988950102356148,0.0011560693641618498,865.0,0.20964729599654675,0.20964729599654675,
Wave,Cuitzeo,1,nvec_20_cuda,6.3104237738069856e-06,6.452541803335791e-06,0.09988950102356148,0.0011560693641618498,865.0,5.2480086800060235,5.2480086800060235,
Wave,Cuitzeo,2,nvec_20_cpu,1.8653555395952536e-06,2.076792309146879e-06,0.0999494951041959,0.0006557377049180328,1525.0,1.194285333971493,1.194285333971493,
Wave,Cuitzeo,2,nvec_20_cuda,1.865355540480685e-06,2.0767923074145747e-06,0.0999494951041959,0.0006557377049180328,1525.0,30.267304753011558,30.267304753011558,
Wave,Cuitzeo,3,nvec_20_cpu,9.93925355032357e-07,1.756741730931776e-06,0.09997836562663223,0.0004520795660036166,2212.0,5.34312495298218,5.34312495298218,
Wave,Cuitzeo,3,nvec_20_cuda,9.939253563845604e-07,1.75674172774806e-06,0.09997836562663223,0.0004520795660036166,2212.0,112.49725359096192,112.49725359096192,
Wave,Cuitzeo,4,nvec_20_cpu,263174.82094077056,10741303.402133293,0.09998852557775924,0.0003436426116838488,2910.0,8.395500877988525,8.395500877988525,
Wave,Cuitzeo,4,nvec_20_cuda,263174.82084294653,10741303.409818925,0.09998852557775924,0.0003436426116838488,2910.0,140.3387415749603,140.3387415749603,
Wave,Cuitzeo,5,nvec_20_cpu,20095114686.430534,1161836834355.4429,0.09999064791127299,0.0002767017155506364,3614.0,18.078521625022404,18.078521625022404,
Wave,Cuitzeo,5,nvec_20_cuda,20095115792.599167,1161836897444.9148,0.09999064791127299,0.0002767017155506364,3614.0,288.199105169042,288.199105169042,
Wave,Catemaco,1,nvec_20_cpu,3.6378746891244974e-05,3.5072444197821225e-05,0.09999184975276437,0.0016722408026755853,598.0,0.2094509790185839,0.2094509790185839,
Wave,Catemaco,1,nvec_20_cuda,3.637874688615471e-05,3.5072444176726764e-05,0.09999184975276437,0.0016722408026755853,598.0,4.590206556022167,4.590206556022167,
Wave,Catemaco,2,nvec_20_cpu,1.2779133474470047e-05,1.5504771725168086e-05,0.09994464410947095,0.0009487666034155598,1054.0,1.4889623449998908,1.4889623449998908,
Wave,Catemaco,2,nvec_20_cuda,1.277913342357366e-05,1.5504771541936333e-05,0.09994464410947095,0.0009487666034155598,1054.0,30.787146296992432,30.787146296992432,
Wave,Catemaco,3,nvec_20_cpu,6.331627972910907e-06,8.066162490743376e-06,0.09997584757017239,0.0006605019815059445,1514.0,5.569523170008324,5.569523170008324,
Wave,Catemaco,3,nvec_20_cuda,6.331627874740439e-06,8.066162145576146e-06,0.09997584757017239,0.0006605019815059445,1514.0,105.4267849450116,105.4267849450116,
Wave,Catemaco,4,nvec_20_cpu,81.75121202529388,2469.527563470254,0.09996665194129084,0.0005042864346949068,1983.0,7.9103892630082555,7.9103892630082555,
Wave,Catemaco,4,nvec_20_cuda,81.7512134475733,2469.527607689703,0.09996665194129084,0.0005042864346949068,1983.0,136.45313283702126,136.45313283702126,
Wave,Catemaco,5,nvec_20_cpu,730.6618764669325,25816.129832428636,0.09997993011489731,0.00040584415584415587,2464.0,17.25919137604069,17.25919137604069,
Wave,Catemaco,5,nvec_20_cuda,730.6618529665146,25816.128861132034,0.09997993011489731,0.00040584415584415587,2464.0,302.42064139799913,302.42064139799913,
Wave,Caspio,1,nvec_20_cpu,1.744839216389158e-05,1.5216581540977318e-05,0.09997353628898997,0.0016666666666666668,600.0,0.12590798595920205,0.12590798595920205,
Wave,Caspio,1,nvec_20_cuda,1.7448392163845254e-05,1.5216581540876957e-05,0.09997353628898997,0.0016666666666666668,600.0,2.7070257079903968,2.7070257079903968,
