Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,CFL,dt,Time_Steps,Damping,Alpha,Time_Secs,RMSE
Wave,Cuitzeo,1,nvec_16_cpu,0.0005648769119520607,0.4995659354198585,0.0015037593984962407,665.0,0.0,0.0,0.11061867896933109,
Wave,Cuitzeo,1,nvec_16_cuda,0.000564877239866733,0.4995659354198585,0.0015037593984962407,665.0,0.0,0.0,1.0569165010238066,
Wave,Cuitzeo,2,nvec_16_cpu,0.00016962905025406732,0.49988532195459634,0.0008382229673093043,1193.0,0.0,0.0,0.4953541839495301,
Wave,Cuitzeo,2,nvec_16_cuda,0.00016962936085505994,0.49988532195459634,0.0008382229673093043,1193.0,0.0,0.0,1.9471209229668602,
Wave,Cuitzeo,3,nvec_16_cpu,8.115129314806258e-05,0.4997593023449266,0.000574052812858783,1742.0,0.0,0.0,2.017285431968048,
Wave,Cuitzeo,3,nvec_16_cuda,8.115157293416144e-05,0.4997593023449266,0.000574052812858783,1742.0,0.0,0.0,2.9346674130065367,
Wave,Cuitzeo,4,nvec_16_cpu,4.730911837346643e-05,0.4999295240194289,0.00043649061545176777,2291.0,0.0,0.0,6.4929526100168005,
Wave,Cuitzeo,4,nvec_16_cuda,4.7309347212790173e-05,0.4999295240194289,0.00043649061545176777,2291.0,0.0,0.0,4.158190612914041,
Wave,Catemaco,1,nvec_16_cpu,0.0016661701255628715,0.4993053071145316,0.0021645021645021645,462.0,0.0,0.0,0.11437734903302044,
Wave,Catemaco,1,nvec_16_cuda,0.00166617093256761,0.4993053071145316,0.0021645021645021645,462.0,0.0,0.0,0.7589762329589576,
Wave,Catemaco,2,nvec_16_cpu,0.0004666035084659264,0.49939962963759393,0.0012121212121212121,825.0,0.0,0.0,0.5415627210168168,
Wave,Catemaco,2,nvec_16_cuda,0.0004666045762778446,0.49939962963759393,0.0012121212121212121,825.0,0.0,0.0,1.3850968650076538,
Wave,Catemaco,3,nvec_16_cpu,0.00023467091155605392,0.4996998476955679,0.0008410428931875525,1189.0,0.0,0.0,2.236215236946009,
Wave,Catemaco,3,nvec_16_cuda,0.00023467211749345784,0.4996998476955679,0.0008410428931875525,1189.0,0.0,0.0,2.075520951068029,
Wave,Catemaco,4,nvec_16_cpu,0.00017144425142696888,0.4997700194924743,0.0006389776357827476,1565.0,0.0,0.0,6.482723501045257,
Wave,Catemaco,4,nvec_16_cuda,0.0001714454893574991,0.4997700194924743,0.0006389776357827476,1565.0,0.0,0.0,2.8492062269942835,
Wave,Caspio,1,nvec_16_cpu,0.0009567282040379789,0.4998072055694181,0.002173913043478261,460.0,0.0,0.0,0.08424376603215933,
Wave,Caspio,1,nvec_16_cuda,0.0009567287844498651,0.4998072055694181,0.002173913043478261,460.0,0.0,0.0,0.751615840010345,
Wave,Caspio,2,nvec_16_cpu,0.0003259795198889957,0.499433735498025,0.0013422818791946308,745.0,0.0,0.0,0.24511122598778456,
Wave,Caspio,2,nvec_16_cuda,0.00032598026583322416,0.499433735498025,0.0013422818791946308,745.0,0.0,0.0,1.2982076370390132,
Wave,Caspio,3,nvec_16_cpu,0.00016073632831879346,0.499433735498025,0.0013422818791946308,745.0,0.0,0.0,0.5438358740648255,
Wave,Caspio,3,nvec_16_cuda,0.00016073639800933602,0.499433735498025,0.0013422818791946308,745.0,0.0,0.0,1.47077904001344,
Wave,Caspio,4,nvec_16_cpu,9.448827601926851e-05,0.49997735799854687,0.0009049773755656109,1105.0,0.0,0.0,1.7784954099915922,
Wave,Caspio,4,nvec_16_cuda,9.448830420265919e-05,0.49997735799854687,0.0009049773755656109,1105.0,0.0,0.0,2.186646159971133,
Wave,Metztitlán,1,nvec_16_cpu,0.0009526515754520265,0.4997577765877359,0.004,250.0,0.0,0.0,0.06187737500295043,
Wave,Metztitlán,1,nvec_16_cuda,0.0009526517787479642,0.4997577765877359,0.004,250.0,0.0,0.0,0.4810853929957375,
