x,y,region,classification
0.0,0.503173249351816,1,boundary
0.00044123649335634066,0.5109952965449057,1,boundary
0.003005629073565735,0.4996657750755753,1,boundary
0.0030834119315750904,0.5186559240098738,1,boundary
0.004883316692565635,0.5264779712029635,1,boundary
0.00601125814713147,0.4961583007993346,1,boundary
0.008466034648443867,0.5297187882218714,1,boundary
0.012708918479899313,0.49080460821608485,1,boundary
0.012048752604322099,0.5329596052407792,1,boundary
0.01692193335535204,0.5312574399715034,1,boundary
0.017796062241922136,0.48437349670454394,1,boundary
0.02039816437853008,0.47670518926017513,1,boundary
0.021401854783879952,0.4691152600372006,1,boundary
0.02179511410638198,0.5295552747022276,1,boundary
0.025908608468225455,0.5269473159484089,1,boundary
0.029189852297324074,0.4657123480823381,1,boundary
0.03002210283006893,0.5243393571945902,1,boundary
0.03260659656502054,0.5207511730542888,1,boundary
0.034274070959063874,0.46426180870400025,1,boundary
0.03519109029997215,0.5171629889139873,1,boundary
0.03867553641541902,0.509663781177141,1,boundary
0.03935828962080367,0.4628112693256624,1,boundary
0.0435084656683732,0.4602470470826008,1,boundary
0.04421330439564657,0.5121555364397123,1,boundary
0.04539495844572618,0.5198161639046803,1,boundary
0.04765864171594272,0.4576828248395392,1,boundary
0.050393018370209215,0.5213694325459804,1,boundary
0.05068527374915182,0.4504805947919644,1,boundary
0.05376031042976191,0.44705587697830274,1,boundary
0.05552732856577541,0.2907964018002326,1,boundary
0.05539107829469225,0.5229227011872806,1,boundary
0.05683534711037201,0.4436311591646411,1,boundary
0.05841431428363339,0.2970923599835606,1,boundary
0.060079475110178616,0.28504807511936214,1,boundary
0.05999346699322352,0.5249477387368956,1,boundary
0.06119978986482305,0.44168903466857956,1,boundary
0.062327198633200534,0.299939511178682,1,boundary
0.06456491359042056,0.2833050153936679,1,boundary
0.06539511611131231,0.34242754473226633,1,boundary
0.06459585569175479,0.5269727762865106,1,boundary
0.06514727049479578,0.5486016896018988,1,boundary
0.06624008298276768,0.3027866623738035,1,boundary
0.06556423261927409,0.43974691017251805,1,boundary
0.06641234392583188,0.4317424533992347,1,boundary
0.0666159893712713,0.5409410621369308,1,boundary
0.06753788146618843,0.3603585874843875,1,boundary
0.0675892701688891,0.5302535264546935,1,boundary
0.0683751205314773,0.3671505050542049,1,boundary
0.0690503520706625,0.28156195566797376,1,boundary
0.06947398728747085,0.5559394776106235,1,boundary
0.07058268464602341,0.3101214060743744,1,boundary
0.07054340328174612,0.42915543783646404,1,boundary
0.07058268464602341,0.5335342766228764,1,boundary
0.07142246584481071,0.35747769351111514,1,boundary
0.07241077700666558,0.3470975918009963,1,boundary
0.07285320341342787,0.3379805286462004,1,boundary
0.07362416627714269,0.5580822757895956,1,boundary
0.07472492120040497,0.3122657264074234,1,boundary
0.07467446263766035,0.42656842227369335,1,boundary
0.07560113667277275,0.282027068854076,1,boundary
