x,y,region,classification
0.0,0.19575645435861663,1,boundary
0.0,0.19753864627003564,1,boundary
0.0,0.19932083818145466,1,boundary
0.0,0.20110303009287367,1,boundary
0.0,0.20288522200429265,1,boundary
0.0,0.20466741391571167,1,boundary
0.0,0.20644960582713068,1,boundary
0.0,0.20823179773854966,1,boundary
0.0,0.21001398964996867,1,boundary
0.0,0.2117961815613877,1,boundary
0.0,0.2135783734728067,1,boundary
0.0,0.21536056538422568,1,boundary
0.0,0.21714275729564467,1,boundary
0.00029105243673899916,0.19399053196519972,1,boundary
0.00029105243673899916,0.21890867968906158,1,boundary
0.0005821048734779983,0.1922246095717828,1,boundary
0.0005821048734779983,0.2206746020824785,1,boundary
0.0008731573102169967,0.1904586871783659,1,boundary
0.0008731573102169967,0.2224405244758954,1,boundary
0.001164209746955995,0.18869276478494895,1,boundary
0.001164209746955995,0.22420644686931232,1,boundary
0.0014552621836949932,0.22597236926272926,1,boundary
0.0017094902926869946,0.187535117439714,1,boundary
0.0017463146204339914,0.2277382916561462,1,boundary
0.00203736705717299,0.22950421404956312,1,boundary
0.0022547708384179944,0.18637747009447903,1,boundary
0.002328419493911988,0.23127013644298003,1,boundary
0.0028000513841489943,0.18521982274924406,1,boundary
0.0027206734819314503,0.23303040177858692,1,boundary
0.0031129274699509125,0.2347906671141938,1,boundary
0.0035938307921484468,0.2365459770474187,1,boundary
0.0037415174285322637,0.1840843217470348,1,boundary
0.0040747341143459815,0.2383012869806436,1,boundary
0.00436578655108498,0.2400672093740605,1,boundary
0.004682983472915533,0.18294882074482555,1,boundary
0.004656838987823978,0.24183313176747745,1,boundary
0.004947891424562976,0.2435990541608944,1,boundary
0.005238943861301974,0.24536497655431133,1,boundary
0.005624449517298803,0.18181331974261628,1,boundary
0.005529996298040973,0.24713089894772824,1,boundary
0.005821048734779971,0.24889682134114516,1,boundary
0.006290743228765028,0.250652757835805,1,boundary
0.006760437722750086,0.25240869433046487,1,boundary
0.0069181033651931146,0.18118206506476797,1,boundary
0.0075181409528710655,0.2535544674762379,1,boundary
0.008211757213087426,0.1805508103869197,1,boundary
0.008275844182992044,0.25470024062201085,1,boundary
0.009033547413113024,0.2558460137677839,1,boundary
0.009505411060981739,0.17991955570907142,1,boundary
0.009791250643234002,0.25699178691355684,1,boundary
0.010548953873354982,0.2581375600593298,1,boundary
0.01079906490887605,0.17928830103122312,1,boundary
0.01130665710347596,0.2592833332051028,1,boundary
0.012409535403696272,0.17905545908183193,1,boundary
0.012713126159984458,0.25980377195173227,1,boundary
0.014020005898516496,0.17882261713244071,1,boundary
0.014119595216492954,0.26032421069836176,1,boundary
0.015630476393336718,0.17858977518304953,1,boundary
0.015526064273001452,0.26084464944499125,1,boundary
0.01693253332950995,0.26136508819162074,1,boundary
0.01724094688815694,0.1783569332336583,1,boundary
0.018479757387899046,0.26126807071270775,1,boundary
0.018851417382977163,0.17812409128426712,1,boundary
0.020026981446288138,0.26117105323379475,1,boundary
0.020603806754071263,0.17812409128426712,1,boundary
0.02157420550467723,0.26107403575488175,1,boundary
0.02235619612516536,0.17812409128426712,1,boundary
0.023121429563066325,0.26097701827596875,1,boundary
0.02410858549625946,0.17812409128426712,1,boundary
0.02466865362145542,0.26088000079705576,1,boundary
0.02586097486735356,0.17812409128426712,1,boundary
0.026215877679844513,0.26078298331814276,1,boundary
0.02761336423844766,0.17812409128426712,1,boundary
0.027895878932979946,0.260817213825313,1,boundary
0.029365753609541755,0.17812409128426712,1,boundary
0.029575880186115382,0.2608514443324832,1,boundary
0.03111814298063585,0.17812409128426712,1,boundary
0.031255881439250816,0.2608856748396534,1,boundary
0.03287053235172995,0.17812409128426712,1,boundary
0.03293588269238625,0.2609199053468236,1,boundary
0.03462292172282405,0.17812409128426712,1,boundary
0.03461588394552168,0.2609541358539938,1,boundary
0.036375311093918145,0.17812409128426712,1,boundary
0.03629588519865712,0.260988366361164,1,boundary
0.0375008291372311,0.26199927534191203,1,boundary
0.038127700465012244,0.17812409128426712,1,boundary
0.038705773075805076,0.26301018432266,1,boundary
0.039880089836106344,0.17812409128426712,1,boundary
0.03991071701437906,0.264021093303408,1,boundary
0.04141353984972552,0.2643048391039198,1,boundary
0.04149056033092657,0.17789124933487593,1,boundary
0.04310103082574679,0.17765840738548472,1,boundary
0.04291636268507198,0.2645885849044315,1,boundary
0.04441918552041843,0.26487233070494326,1,boundary
0.04471150132056701,0.17742556543609353,1,boundary
0.04592200835576489,0.265156076505455,1,boundary
0.04632197181538723,0.1771927234867023,1,boundary
0.04742483119111135,0.26543982230596674,1,boundary
0.047932442310207456,0.17695988153731113,1,boundary
0.049111425931005565,0.26588526519038386,1,boundary
0.049637782459674804,0.17652330288220264,1,boundary
0.05079802067089978,0.26633070807480097,1,boundary
0.051343122609142144,0.17608672422709415,1,boundary
0.052484615410794,0.26677615095921814,1,boundary
0.05304846275860949,0.17565014557198563,1,boundary
0.054171210150688216,0.26722159384363525,1,boundary
0.05475380290807684,0.17521356691687714,1,boundary
0.055691655850619824,0.26742382481931465,1,boundary
0.05648086131463583,0.17534882312165792,1,boundary
0.05721210155055143,0.267626055794994,1,boundary
0.05820791972119482,0.17548407932643867,1,boundary
0.05873254725048304,0.2678282867706734,1,boundary
0.059934978127753814,0.17561933553121944,1,boundary
0.06040614274592665,0.26737669687286625,1,boundary
0.061662036534312806,0.17575459173600022,1,boundary
0.06207973824137025,0.26692510697505906,1,boundary
0.06336473763684392,0.17558179532625387,1,boundary
0.06375333373681387,0.26647351707725186,1,boundary
